pond_id,date,risk_score,hotspot,top_driver,action_flag
POND_001,1/1/2025,0.2722,0,storm_exposure,ALL_CLEAR
POND_001,11/1/2025,0.3262,0,storm_exposure,ROUTINE_CHECK
POND_001,21/1/2025,0.3345,0,storm_exposure,ROUTINE_CHECK
POND_001,1/2/2025,0.2989,0,storm_exposure,ALL_CLEAR
POND_001,11/2/2025,0.3168,0,storm_exposure,ROUTINE_CHECK
POND_001,21/2/2025,0.4828,1,disease_signal,MONITOR_CLOSELY
POND_001,1/3/2025,0.3364,0,storm_exposure,ROUTINE_CHECK
POND_001,11/3/2025,0.373,1,storm_exposure,ROUTINE_CHECK
POND_001,21/3/2025,0.3389,0,storm_exposure,ROUTINE_CHECK
POND_001,1/4/2025,0.3082,1,storm_exposure,ROUTINE_CHECK
POND_001,11/4/2025,0.2935,1,storm_exposure,ALL_CLEAR
POND_001,21/4/2025,0.2614,1,storm_exposure,ALL_CLEAR
POND_001,1/5/2025,0.2643,0,storm_exposure,ALL_CLEAR
POND_001,11/5/2025,0.293,0,storm_exposure,ALL_CLEAR
POND_001,21/5/2025,0.3066,0,storm_exposure,ROUTINE_CHECK
POND_001,1/6/2025,0.3337,0,storm_exposure,ROUTINE_CHECK
POND_001,11/6/2025,0.4488,0,disease_signal,ROUTINE_CHECK
POND_001,21/6/2025,0.2844,0,storm_exposure,ALL_CLEAR
POND_001,1/7/2025,0.3051,0,storm_exposure,ROUTINE_CHECK
POND_001,11/7/2025,0.2856,0,storm_exposure,ALL_CLEAR
POND_001,21/7/2025,0.2052,1,high_drought,ALL_CLEAR
POND_001,1/8/2025,0.2018,0,storm_exposure,ALL_CLEAR
POND_001,11/8/2025,0.2994,0,storm_exposure,ALL_CLEAR
POND_001,21/8/2025,0.4968,0,disease_signal,MONITOR_CLOSELY
POND_001,1/9/2025,0.3781,1,storm_exposure,ROUTINE_CHECK
POND_001,11/9/2025,0.3308,0,storm_exposure,ROUTINE_CHECK
POND_001,21/9/2025,0.3331,1,storm_exposure,ROUTINE_CHECK
POND_001,1/10/2025,0.2572,0,storm_exposure,ALL_CLEAR
POND_001,11/10/2025,0.2549,0,storm_exposure,ALL_CLEAR
POND_001,21/10/2025,0.3106,0,storm_exposure,ROUTINE_CHECK
POND_001,1/11/2025,0.3874,0,storm_exposure,ROUTINE_CHECK
POND_001,11/11/2025,0.3099,0,storm_exposure,ROUTINE_CHECK
POND_001,21/11/2025,0.3072,0,storm_exposure,ROUTINE_CHECK
POND_001,1/12/2025,0.2739,0,storm_exposure,ALL_CLEAR
POND_001,11/12/2025,0.2605,0,storm_exposure,ALL_CLEAR
POND_001,21/12/2025,0.2563,0,storm_exposure,ALL_CLEAR
POND_002,1/1/2025,0.2387,0,storm_exposure,ALL_CLEAR
POND_002,11/1/2025,0.2932,0,storm_exposure,ALL_CLEAR
POND_002,21/1/2025,0.3295,0,storm_exposure,ROUTINE_CHECK
POND_002,1/2/2025,0.2997,0,storm_exposure,ALL_CLEAR
